Laboratório,EAN 1,Produto (Dosagem),Classe Terapêutica
Takeda Pharma,7896641812699,Amitiza (24 mcg),"Outros laxantes, incluindo associações"
Takeda Pharma,7896641812705,Amitiza (24 mcg),"Outros laxantes, incluindo associações"
Aurobindo Pharma,7898361883539,Cloridrato de pioglitazona (45 mg),Antidiabéticos glitazonas
Biocon,9555887700877,Kirsty (100 u/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Biocon,9555887700891,Kirsty (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Biocon,9555887700884,Kirsty (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705201008,Novorapid (100 u/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705201015,Novorapid (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705201107,Novorapid (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705201831,Novorapid (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705202425,Fiasp (100 u / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705202432,Fiasp (100 u / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705202395,Fiasp (100 u / 10 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705202418,Fiasp (100 u / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705202401,Fiasp (100 u / 3 ml),"Insulinas humanas e análogos, ação rápida"
Equilibrio,9555887700969,Kirsty (100 u/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Equilibrio,9555887700952,Kirsty (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Medley,7891058027117,Apidra (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Medley,7891058028329,Apidra (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Medley,7891058002985,Apidra (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Ems,7896004750323,Insuliv r (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Funed,7898287822346,Funed insulina r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Funed,7898287822353,Funed insulina r (100 ui/ml / 5 ml),"Insulinas humanas e análogos, ação rápida"
Funed,7898287822360,Funed insulina r (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Funed,7898287822377,Funed insulina r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Funed,7898287822384,Funed insulina r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382700576,Humulin r (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382703300,Humulin r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Biocon,8905056008005,Insunorm r (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705200070,Novolin r (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705200315,Novolin r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705202470,Novolin r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Nordisk Farmacêutica,7897705202487,Novolin r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Biomm,7898616360150,"Afrezza (8 u / 0,70 mg)","Insulinas humanas e análogos, ação rápida"
Biomm,7898616360167,Afrezza (12 u / 1 mg),"Insulinas humanas e análogos, ação rápida"
Biomm,7898616360174,"Afrezza (4 u / 0,35 mg / 8 u / 0,70 mg)","Insulinas humanas e análogos, ação rápida"
Biomm,7898616360181,"Afrezza (4 u / 0,35 mg / 8 u / 0,70 mg)","Insulinas humanas e análogos, ação rápida"
Biomm,7898616360198,"Afrezza (8 u / 0,70 mg / 12 u / 1 mg)","Insulinas humanas e análogos, ação rápida"
Biomm,7898616360204,"Afrezza (4 u / 0,35 mg / 8 u / 0,70 mg)","Insulinas humanas e análogos, ação rápida"
Gerais Farmaceutica,7895197160032,Wosulin r (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Gerais Farmaceutica,7898971005079,Wosulin r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Gerais Farmaceutica,7898971005109,Wosulin r (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Bahiafarma,7898604730071,Bahiafarma insulina humana r (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382700750,Humalog (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382705519,Humalog (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382706264,Humalog (100 ui / 3 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382706431,Humalog (100 ui / 3 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382703331,Humalog (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação rápida"
Eli,7896382700583,Humulin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Eli,7896382703317,Humulin n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Biocon,8905056007992,Insunorm n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Nordisk Farmacêutica,7897705200087,Novolin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Nordisk Farmacêutica,7897705200322,Novolin n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Nordisk Farmacêutica,7897705202449,Novolin n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Nordisk Farmacêutica,7897705202456,Novolin n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Bahiafarma,7898604730064,Bahiafarma insulina humana nph (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Ems,7896004760292,Visulin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Ems,7896004760308,Visulin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Ems,7896004760315,Visulin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Ems,7896004760322,Visulin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Ems,7896004760339,Visulin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Funed,7898287822292,Funed insulina n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Funed,7898287822308,Funed insulina n (100 ui/ml / 5 ml),"Insulinas humanas e análogos, ação intermediária"
Funed,7898287822315,Funed insulina n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Funed,7898287822322,Funed insulina n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Funed,7898287822339,Funed insulina n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Gerais Farmaceutica,7895197160063,Wosulin n (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação intermediária"
Gerais Farmaceutica,7898971005062,Wosulin n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Gerais Farmaceutica,7898971005093,Wosulin n (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária"
Nordisk Farmacêutica,7897705201060,Novomix 30 (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Nordisk Farmacêutica,7897705201077,Novomix 30 (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Eli,7896382703072,Humalog mix (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Eli,7896382705885,Humalog mix (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Eli,7896382706448,Humalog mix (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Eli,7896382706288,Humalog mix (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Eli,7896382706493,Humalog mix (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Eli,7896382706271,Humalog mix (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação intermediária e longa, comb. com ação rápida"
Nordisk Farmacêutica,7897705201978,Tresiba (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201916,Tresiba (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201923,Tresiba (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201930,Tresiba (200 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201947,Tresiba (200 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201954,Tresiba (200 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201961,Tresiba (200 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201138,Levemir (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201145,Levemir (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Nordisk Farmacêutica,7897705201152,Levemir (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Eli,7896382707674,Basaglar (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Eli,7896382707681,Basaglar (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Eli,7896382708183,Basaglar (100 ui/ml / 3 ml / 80 ui),"Insulinas humanas e análogos, ação longa"
Biocon,9555887700839,Semglee (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Biocon,9555887700822,Semglee (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Biomm,7898616360075,Glargilin (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação longa"
Biomm,7898616360082,Glargilin (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Biomm,7898616360099,Glargilin (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Biomm,7898616360129,Glargilin (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Biomm,7898616360693,Glargilin (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Biomm,7898616361119,Glargilin (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Biomm,7898616360730,Glargilin (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Aspen Pharma,7895858015459,Glatus (100 ui/ml / 10 ml),"Insulinas humanas e análogos, ação longa"
Aspen Pharma,7895858015763,Glatus (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
